,id,permalink,username,to,retweets,favorites,mentions,hashtags,geo,date,text
1242,1256670292178583560,https://twitter.com/anne_vis/status/1256670292178583560,anne_vis,,0,0,@Ella_Ster,#5G #stop5G,,2020-05-02 19:42:00+00:00,Doe ook mee: stuur positieve energie naar het kort geding om 5G te stoppen [UPDATE] https://www.ellaster.nl/2020/04/20/doe-ook-mee-stuur-positieve-energie-naar-het-kort-geding-om-5g-te-stoppen/ via @Ella_Ster #5G #stop5G
1243,1256669235566313473,https://twitter.com/toony36_mcilroy/status/1256669235566313473,toony36_mcilroy,Djadja80425319,0,0,,#France #PlusJamaisCa #FranceUnie #LeReichEnMarche #Deconfinement11Mai #enmarchevers1984 #enmarcheverslavenir #NouvelOrdreMondial #Macronavirus #COVID19france #Stop5G #GiletsJaunes,,2020-05-02 19:37:48+00:00,Le même scénario en France. Etrange!🤔🤔 #France #PlusJamaisCa #FranceUnie #LeReichEnMarche #Deconfinement11Mai #enmarchevers1984 #enmarcheverslavenir #NouvelOrdreMondial #Macronavirus #COVID19france #Stop5G #GiletsJaunes
1244,1256666396085366787,https://twitter.com/_A_mors/status/1256666396085366787,_A_mors,LeeKnowsGirl16,0,1,,#STOP5G,,2020-05-02 19:26:31+00:00,Eccellente per i loro piani. #STOP5G 
1245,1256665834665259010,https://twitter.com/DazHarmer/status/1256665834665259010,DazHarmer,KellyCa27412553,7,11,,#MIcrowave #Wireless #radiation #Stop5G #Stop4GLTE #Health #EHS #tinnitus,,2020-05-02 19:24:17+00:00,#MIcrowave hearing also known as the 'Frey Effect' is just the tip of the iceberg of known health effects caused by #Wireless #radiation over-exposure: https://ehtrust.org/science/research-on-wireless-health-effects/ This is a worldwide problem which needs to be stopped. #Stop5G #Stop4GLTE #Health #EHS #tinnitus
1246,1256664776169721859,https://twitter.com/HalassyMarianna/status/1256664776169721859,HalassyMarianna,,0,0,,#stop5g,,2020-05-02 19:20:04+00:00,"Brussels becomes the first to ban 5G, and Trump signs laws to boost 5G! https://www.cnet.com/news/trump-signs-5g-and-broadband-mapping-legislation-into-law/?fbclid=IwAR0PyentfE9KvWRW2R4De8SbOtIO5HDW4e-NO9xWR37bhyT0rVHNtDRYjns##stop5g"
1247,1256654361154945024,https://twitter.com/NonHumain/status/1256654361154945024,NonHumain,,0,0,,#5G #Stop5G,,2020-05-02 18:38:41+00:00,"« Stop #5G ». Ces habitants, docteurs et juges qui vont à contre-courant de l’amour des Italiens pour les smartphones https://multinationales.org/Stop-5G-Ces-habitants-docteurs-et-juges-qui-vont-a-contre-courant-de-l-amour #Stop5G"
1248,1256654009072447490,https://twitter.com/Neveah_M88/status/1256654009072447490,Neveah_M88,,1,1,@nicholson1968,#STOP5G #5GKILLS #COVID19 #coronavirus #WakeUpAmerica #WakeUpWorld #children #safety #frequecyweapon,,2020-05-02 18:37:17+00:00,https://youtu.be/7PLK1OqvYhc #STOP5G #5GKILLS #COVID19 #coronavirus #WakeUpAmerica #WakeUpWorld @nicholson1968 @thefullertoninformer #children #safety #frequecyweapon
1249,1256645431863341056,https://twitter.com/aS6ONTkXVgaRp17/status/1256645431863341056,aS6ONTkXVgaRp17,MAHALOHA13,0,0,,#STOP5G,,2020-05-02 18:03:12+00:00,みんなで拡散しましょう。 #STOP5G 
1250,1256638378247884805,https://twitter.com/Stop5GWisconsin/status/1256638378247884805,Stop5GWisconsin,,1,4,,#Stop5G #wirelessradiation,,2020-05-02 17:35:11+00:00,Please Sign This Petition! Congress needs to listen to independent experts about 5G dangers...before it's too late. #Stop5G #wirelessradiation
1251,1256636997101162499,https://twitter.com/ElfSpirit_Q/status/1256636997101162499,ElfSpirit_Q,,42,66,,#5G #5G #Stop5G,,2020-05-02 17:29:41+00:00,5Gによる影響は歯の治療跡の詰め物（金属）に反応するかもという体験談です。🧐 私の歯の痛みは５Gの影響だったかも！？ https://www.kisato-world.com/blog/?p=20691 #5G危険 #5G反対 #Stop5G
